Name,GivenName,Surname,,Path,Title,,,Office,SamAccountName,,,OfficePhone,EmployeeID
Rod Butters,Rod,Butters,,"OU=Owners,OU=Executives,OU=Users,OU=RauDZ,DC=Int,DC=raudz,DC=com",Co-Owner and CEO,,,Head Office,20220001,,,4510,20220001
Audrey Surrao,Audrey,Surrao,,"OU=Owners,OU=Executives,OU=Users,OU=RauDZ,DC=Int,DC=raudz,DC=com",Co-Owner and CFO,,,Head Office,20220002,,,4511,20220002
James Hanna,James,Hanna,,"OU=General Managers,OU=Executives,OU=Users,OU=RauDZ,DC=Int,DC=raudz,DC=com",Chef de Cuisine,,,Head Office,20220003,,,4512,20220003
Jason Whitfield,Jason,Whitfield,,"OU=General Managers,OU=Executives,OU=Users,OU=RauDZ,DC=Int,DC=raudz,DC=com",Pastry Chef,,,Head Office,20220004,,,4513,20220004
Anthony Chalmers,Anthony,Chalmers,,"OU=General Managers,OU=Executives,OU=Users,OU=RauDZ,DC=Int,DC=raudz,DC=com",Restaurant Manager,,,Head Office,20220005,,,4514,20220005
Scarlett Johansson,Scarlett,Johansson,,"OU=General Managers,OU=Executives,OU=Users,OU=RauDZ,DC=Int,DC=raudz,DC=com",CIO,,,Head Office,20220006,,,4515,20220006
Al Pacino,Al,Pacino,,"OU=General Managers,OU=Executives,OU=Users,OU=RauDZ,DC=Int,DC=raudz,DC=com",VP - Human Resources,,,Head Office,20220007,,,4516,20220007
Meryl Streep,Meryl,Streep,,"OU=General Managers,OU=Executives,OU=Users,OU=RauDZ,DC=Int,DC=raudz,DC=com",VP - Finance,,,Head Office,20220008,,,4517,20220008
Samuel Jackson,Samuel,Jackson,,"OU=General Managers,OU=Executives,OU=Users,OU=RauDZ,DC=Int,DC=raudz,DC=com",VP - Marketing and PR,,,Head Office,20220009,,,4518,20220009
Robert Downey Jr.,Robert,Downey Jr.,,"OU=HR,OU=Office,OU=Staff,OU=Users,OU=RauDZ,DC=Int,DC=raudz,DC=com",Recruiter,,,Head Office,20220010,,,4519,20220010
Daniel Craig,Daniel,Craig,,"OU=HR,OU=Office,OU=Staff,OU=Users,OU=RauDZ,DC=Int,DC=raudz,DC=com",HR Assistant,,,Head Office,20220011,,,4520,20220011
Jennifer Lawrence,Jennifer,Lawrence,,"OU=HR,OU=Office,OU=Staff,OU=Users,OU=RauDZ,DC=Int,DC=raudz,DC=com",HR Assistant,,,Head Office,20220012,,,4521,20220012
Will Smith,Will,Smith,,"OU=HR,OU=Office,OU=Staff,OU=Users,OU=RauDZ,DC=Int,DC=raudz,DC=com",HR Assistant,,,Head Office,20220013,,,4522,20220013
Amy Adams,Amy,Adams,,"OU=Office Reception,OU=Office,OU=Staff,OU=Users,OU=RauDZ,DC=Int,DC=raudz,DC=com",Receptionist,,,Head Office,20220014,,,4523,20220014
Christian Bale,Christian,Bale,,"OU=Office Reception,OU=Office,OU=Staff,OU=Users,OU=RauDZ,DC=Int,DC=raudz,DC=com",Admin Assistant,,,Head Office,20220015,,,4524,20220015
Cate Blanchett,Cate,Blanchett,,"OU=IT Admins,OU=IT,OU=Users,OU=RauDZ,DC=Int,DC=raudz,DC=com",Senior Network Administrator,,,Head Office,20220016,,,4525,20220016
